url,website_name,logo_found,logo_url,logo_confidence,logo_reasoning,logo_type,has_business_name,logo_quality,candidates_found,error,timestamp
https://cafemasalatakeaway.com/,Cafe Masala By Miah Bishop’s Stortford,False,,0,,,False,,1,No valid logos found among candidates,2025-07-28T16:54:30.792918
https://www.greeneking.co.uk/pubs/hertfordshire/harvest-moon?utm_source=g_places&utm_medium=locations&utm_campaign=PK_pubpage,Harvest Moon,False,,0,,,False,,2,No valid logos found among candidates,2025-07-28T16:54:45.684771
http://www.roseylea.com/,Rosey Lea Tea Rooms and Cafe,False,,0,,,False,,1,No valid logos found among candidates,2025-07-28T16:54:56.843140
https://www.shekoskebab.co.uk/,Shekos Kebab House,False,,0,,,False,,0,No logo candidates found,2025-07-28T16:55:05.626317
https://ashokahertsonline.co.uk/,Ashoka Indian Takeaway Bishop’s Stortford,False,,0,,,False,,1,No valid logos found among candidates,2025-07-28T16:55:13.266672
https://fishnchickn.co.uk/?y_source=1_MjYwMDU4NjYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"fishnchickn Thorley, Bishops Stortford",False,,0,,,False,,10,No valid logos found among candidates,2025-07-28T16:55:27.796175
https://lerajonline.com/yFGq,Le Raj Tandoori,False,,0,,,False,,1,No valid logos found among candidates,2025-07-28T16:55:56.288582
http://www.hostrestaurant.co.uk/,Host Grill Restaurant Bishop’s Stortford,False,,0,,,False,,1,No valid logos found among candidates,2025-07-28T16:56:17.048066
https://shadhona.com/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,Shadhona Bishop’s Stortford,False,,0,,,False,,1,No valid logos found among candidates,2025-07-28T16:56:29.686884
https://www.cote.co.uk/restaurant/bishops-stortford?utm_source=google&utm_medium=organic&utm_campaign=google+my+business,Côte Bishop's Stortford,False,,0,,,False,,1,No valid logos found among candidates,2025-07-28T16:56:38.767238
https://huckleberrybishopsstortford.co.uk/,Huckleberrys (Huckleberry Chicken) Bishops Stortford,False,,0,,,False,,2,No valid logos found among candidates,2025-07-28T16:56:46.516773
http://pirciorestaurant.com/,Pircio,False,,0,,,False,,1,No valid logos found among candidates,2025-07-28T16:57:03.657561
https://2map.top/rustico,Rustico,False,,0,,,False,,0,No logo candidates found,2025-07-28T16:57:13.359424
https://www.petruccispizza.co.uk/,Petrucci's Artisan Stonebaked Pizza,False,,0,,,False,,1,No valid logos found among candidates,2025-07-28T16:57:24.228853
http://www.cibosiciliankitchen.co.uk/,Cibo,False,,0,,,False,,3,No valid logos found among candidates,2025-07-28T16:57:32.322908
https://www.skewrestaurant.com/,Skew Restaurant & Cocktail Bar,False,,0,,,False,,3,No valid logos found among candidates,2025-07-28T16:57:43.907097
https://m.facebook.com/albertsthorley/?locale2=en_GB,Alberts,False,,0,,,False,,0,No logo candidates found,2025-07-28T16:57:56.886515
http://philscuisine.com/,Phil's Cuisine Ltd,False,,0,,,False,,0,No logo candidates found,2025-07-28T16:58:03.364130
http://www.therivermill.net/,The Rivermill,False,,0,,,False,,0,No logo candidates found,2025-07-28T16:58:10.648433
https://baan-thitiya.com/,Baan Thitiya - Thai Cuisine,False,,0,,,False,,1,No valid logos found among candidates,2025-07-28T16:58:16.227307
http://www.gourmetorientalstortford.co.uk/,Gourmet Oriental Bishop’s Stortford,False,,0,,,False,,0,No logo candidates found,2025-07-28T16:58:23.305558
https://www.thepizzaguysonline.com/,The Pizza Guys,False,,0,,,False,,0,No logo candidates found,2025-07-28T16:58:30.695077
http://www.southstreetpantry.co.uk/,South Street Pantry,False,,0,,,False,,0,No logo candidates found,2025-07-28T16:58:37.617383
https://tandooricottage-stortford.co.uk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,Tandoori Cottage,False,,0,,,False,,3,No valid logos found among candidates,2025-07-28T16:58:45.209062
http://www.homeandeat.com/,H@ME & EAT,False,,0,,,False,,2,No valid logos found among candidates,2025-07-28T16:58:57.734319
https://www.kebaberyonline.co.uk/,The Kebabery,False,,0,,,False,,2,No valid logos found among candidates,2025-07-28T16:59:06.101142
http://www.zara-dining.co.uk/,Zara Indian Dining,False,,0,,,False,,10,No valid logos found among candidates,2025-07-28T16:59:17.698507
https://www.mcmullens.co.uk/local-pub/nags-head-bishops-stortford/,Nags Head,False,,0,,,False,,2,No valid logos found among candidates,2025-07-28T16:59:33.629985
https://www.facebook.com/coffeehousebs/,Coffee House,False,,0,,,False,,0,No logo candidates found,2025-07-28T16:59:48.643606
https://www.sabrosadelfuego.co.uk/,Sabrosa Del Fuego,False,,0,,,False,,10,No valid logos found among candidates,2025-07-28T16:59:54.978490
https://www.lunabistro.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=16811371490800265492,Luna Bistro,False,,0,,,False,,0,No logo candidates found,2025-07-28T17:00:15.324995
https://www.lepechemignon.co.uk/,Le Péché Mignon,False,,0,,,False,,1,No valid logos found among candidates,2025-07-28T17:00:17.389937
https://www.francomanca.co.uk/,Franco Manca Bishop's Stortford,False,,0,,,False,,0,No logo candidates found,2025-07-28T17:00:36.533188
https://paisawinebar.com/,Paisá,False,,0,,,False,,7,No valid logos found among candidates,2025-07-28T17:00:45.133707
http://www.ronisrestaurant.co.uk/,Roni's Restaurant,False,,0,,,False,,3,No valid logos found among candidates,2025-07-28T17:01:00.317062
https://no-14.com/,No.14,False,,0,,,False,,0,No logo candidates found,2025-07-28T17:01:18.300252
https://tandooricottage-stortford.co.uk/,Tandoori Cottage,False,,0,,,False,,3,No valid logos found among candidates,2025-07-28T17:01:50.331038
http://www.lockdown-pizza.co.uk/,lockdown Pizza,False,,0,,,False,,0,No logo candidates found,2025-07-28T17:02:00.231099
http://www.zeynabistrobar.co.uk/,Zeyna Bistro Bar,False,,0,,,False,,1,No valid logos found among candidates,2025-07-28T17:02:05.868862
https://www.gigglingsquid.com/restaurant/bishop-stortford/?utm_source=google&utm_medium=organic&utm_campaign=business&utm_content=bishop-stortford&y_source=1_MjU0Njc4MjQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Giggling Squid - Bishop's Stortford,False,,0,,,False,,0,No logo candidates found,2025-07-28T17:02:16.292178
https://caffeinn.edan.io/,Caffeinn,False,,0,,,False,,0,No logo candidates found,2025-07-28T17:02:25.592279
https://nuwairahs.co.uk/,Nuwairah’s - Bar and Restaurant,False,,0,,,False,,1,No valid logos found among candidates,2025-07-28T17:02:35.024551
https://friedtubs.co.uk/,Fried Tubs,False,,0,,,False,,1,No valid logos found among candidates,2025-07-28T17:02:46.961859
https://betweenbuns.co.uk/,Between Buns,False,,0,,,False,,1,No valid logos found among candidates,2025-07-28T17:02:55.551535
http://www.sushiandshakes.com/,Sushi and shake,False,,0,,,False,,1,No valid logos found among candidates,2025-07-28T17:03:03.861202
https://sushidaily.com/gb-en/?utm_source=google&utm_medium=local&utm_content=UK&utm_term=UK0001,Sushi Daily Bishop's Stortford,False,,0,,,False,,3,No valid logos found among candidates,2025-07-28T17:03:13.443751
https://ohbaleaf.co.uk/,Ohba Leaf Kitchen BISHOP'S STORTFORD,False,,0,,,False,,3,No valid logos found among candidates,2025-07-28T17:03:28.793148
https://smokyyegg.co.uk/,Smokyy Egg,False,,0,,,False,,4,No valid logos found among candidates,2025-07-28T17:03:44.060493
https://www.rubys.org.uk/,Ruby's Indian Takeaway Bishop’s Stortford,False,,0,,,False,,2,No valid logos found among candidates,2025-07-28T17:04:05.237906
http://www.caribbeanmixup.com/,Caribbean mixup Ltd,False,,0,,,False,,0,No logo candidates found,2025-07-28T17:04:15.729168
https://deliveroo.co.uk/menu/london/bishops-stortford/wich-and-crust,Wich & Crust,False,,0,,,False,,0,No logo candidates found,2025-07-28T17:04:20.430830
https://mintleafonline.com/,Mint Leaf,False,,0,,,False,,1,No valid logos found among candidates,2025-07-28T17:04:52.458982
https://www.fishinnkebab.com/,Fish Inn Kebab,False,,0,,,False,,0,No logo candidates found,2025-07-28T17:05:06.992755
http://www.leegardenbs.co.uk/,Lee Garden,False,,0,,,False,,2,No valid logos found among candidates,2025-07-28T17:05:14.245296
https://ellchurros.co.uk/,ELL tacos and churros,False,,0,,,False,,0,No logo candidates found,2025-07-28T17:05:31.256602
https://dawnsgardens.co.uk/,Dawn's Gardens,False,,0,,,False,,2,No valid logos found among candidates,2025-07-28T17:06:03.289995
https://flamesgrillbishopsstortford.com/,Flames Grill - Bishop’s Stortford,False,,0,,,False,,1,No valid logos found among candidates,2025-07-28T17:06:12.676732
